config,correct_percent,incorrect_percent,ambiguous_percent,time_secs
Restrander(0),0.9413438342857223,0.003516296355825505,0.05513986935845215,18
Restrander(0.05),0.9756481673384851,0.00496144622139132,0.019390386440123565,24
Restrander(0.1),0.9817727829638684,0.00477674901906047,0.013450468017071096,26
Restrander(0.15000000000000002),0.9840497751910771,0.004634348885965691,0.011315875922957299,25
Restrander(0.2),0.9865650409083154,0.004487719045947306,0.00894724004573723,27
Restrander(0.25),0.9855217132004923,0.0044017150051672916,0.01007657179434037,28
Restrander(0.30000000000000004),0.9779773259510849,0.004212788095912834,0.017809885953002317,29
Restrander(0.35000000000000003),0.9426451741158856,0.0035416745973671482,0.053813151286747345,30
Restrander(0.4),0.9413508837972617,0.003516296355825505,0.05513281984691281,29
Restrander(0.45),0.9413438342857223,0.003516296355825505,0.05513986935845215,24
